url_id,URL,amenities,addons,accommodates,accommodatesv,oppening_days,oppening_hours,good_for,address,city,neighborhood,rating_score,rating_number,prices
https://breather.com/locations/boston/262-washington-2,https://breather.com/locations/boston/262-washington-2,"['Whiteboard (1)', '65"" Flatscreen TV', 'Air conditioning', 'WiFi', 'Mirror', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['8', '3', '11', '440']","['Mon - Thu', 'Fri', 'Sat - Sun']","['8:00 am - 9:00 pm', '8:00 am - 8:00 pm', 'Closed']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Private Phone Call']","['262 Washington Street, 4th Floor, Suite 402, Room 2']",['Boston'],['Downtown'],['4.7'],['29 Ratings'],"['$57/hour', '$452/day']"
https://breather.com/locations/boston/50-congress-543,https://breather.com/locations/boston/50-congress-543,"['Whiteboard', 'Air conditioning', 'WiFi', 'Lobby staff', 'Elevator access', 'Phone charger', 'Bathroom on premises']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['4', '2', '6', '226']","['Mon - Fri', 'Sat', 'Sun']","['7:00 am - 8:00 pm', '8:00 am - 4:00 pm', 'Closed']","['Client Meeting', 'Team Meeting', 'Therapy / Consultation', 'Private Phone Call', 'Individual Work']","['50 Congress Street, 5th Floor, Suite 543']",['Boston'],['Downtown'],['4.4'],['395 Ratings'],"['$49/hour', '$392/day']"
https://breather.com/locations/boston/11-beacon-605,https://breather.com/locations/boston/11-beacon-605,"['Whiteboards (2)', '65"" Flatscreen TV', 'Air conditioning', 'WiFi', 'Lobby staff', 'Mirror', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['12', '2', '14', '485']","['Mon - Fri', 'Sat - Sun']","['8:00 am - 6:00 pm', 'Closed']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Private Phone Call', 'Class / Workshop', 'Small Event']","['11 Beacon Street, 6th Floor, Suite 605']",['Boston'],['Downtown'],['4.6'],['9 Ratings'],"['$65/hour', '$520/day']"
https://breather.com/locations/boston/262-washington-8,https://breather.com/locations/boston/262-washington-8,"['Whiteboard (1)', '65"" Flatscreen TV', 'Air conditioning', 'WiFi', 'Blinds', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['12', '2', '14', '470']","['Mon - Thu', 'Fri', 'Sat - Sun']","['8:00 am - 9:00 pm', '8:00 am - 8:00 pm', 'Closed']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Class / Workshop', 'Private Phone Call', 'Small Event']","['262 Washington Street, 8th Floor, Suite 801']",['Boston'],['Downtown'],['4.7'],['11 Ratings'],"['$59/hour', '$472/day']"
https://breather.com/locations/boston/11-beacon-1110,https://breather.com/locations/boston/11-beacon-1110,"['Whiteboards (2)', '65"" Flatscreen TV', 'Air conditioning', 'WiFi', 'Lobby staff', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['18', '4', '22', '752']","['Mon - Fri', 'Sat - Sun']","['8:00 am - 6:00 pm', 'Closed']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Private Phone Call', 'Small Event', 'Class / Workshop']","['11 Beacon Street, 11th Floor, Suite 1110']",['Boston'],['Downtown'],['4.8'],['12 Ratings'],"['$95/hour', '$759/day']"
https://breather.com/locations/boston/180-canal,https://breather.com/locations/boston/180-canal,"['Whiteboards (3)', 'Flatscreen TV', 'Air conditioning', 'Mini fridge', 'WiFi', 'Ensuite kitchenette', 'Mirror', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['16', '4', '20', '920']","['Mon - Fri', 'Sat - Sun']","['8:00 am - 8:00 pm', 'Closed']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Private Phone Call', 'Small Event', 'Class / Workshop', 'Photoshoot']","['180 Canal Street, 3rd Floor']",['Boston'],['West End'],['4.8'],['33 Ratings'],"['$89/hour', '$712/day']"
https://breather.com/locations/boston/87-wendell-1,https://breather.com/locations/boston/87-wendell-1,"['Whiteboards (2)', 'Flatscreen TV', 'Air conditioning', 'WiFi', 'Mirror', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['18', '3', '25', '605']","['Mon - Thu', 'Fri - Sat', 'Sun']","['8:00 am - 9:00 pm', '8:00 am - 8:00 pm', '8:00 am - 6:00 pm']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Private Phone Call', 'Class / Workshop', 'Small Event']","['87 Wendell Street, 3rd Floor, Room 1']",['Boston'],['Financial District'],['4.6'],['84 Ratings'],"['$85/hour', '$680/day']"
https://breather.com/locations/boston/225-friend-2,https://breather.com/locations/boston/225-friend-2,"['Whiteboard', '65"" Flatscreen TV', 'Air conditioning', 'WiFi', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['6', '0', '6', '289']","['Mon - Fri', 'Sat - Sun']","['8:00 am - 8:00 pm', 'Closed']","['Team Meeting', 'Presentation', 'Client Meeting', 'Private Phone Call', 'Individual Work']","['225 Friend Street, 8th Floor, Suite 805, Room 2']",['Boston'],['West End'],['4.7'],['17 Ratings'],"['$59/hour', '$471/day']"
https://breather.com/locations/boston/225-friend-3,https://breather.com/locations/boston/225-friend-3,"['Whiteboards (2)', '65"" Flatscreen TV', 'Air conditioning', 'WiFi', 'Blinds', 'Mirror', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['12', '3', '15', '562']","['Mon - Fri', 'Sat - Sun']","['8:00 am - 8:00 pm', 'Closed']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Photoshoot', 'Private Phone Call', 'Small Event', 'Class / Workshop']","['225 Friend Street, 8th Floor, Suite 805, Room 3']",['Boston'],['West End'],['5.0'],['5 Ratings'],"['$95/hour', '$759/day']"
https://breather.com/locations/boston/262-washington-1,https://breather.com/locations/boston/262-washington-1,"['Whiteboard (1)', '65"" Flatscreen TV', 'Air conditioning', 'Mini fridge', 'WiFi', 'Ensuite kitchenette', 'Blinds', 'Elevator access', 'Phone charger', 'Bathroom on premises', 'HDMI', 'Thunderbolt', 'USB-C Multiport']","['Folding Chair$13', 'Multipurpose Table$100', 'Projector$50', 'Projection Screen$100', 'Conference Speaker$50', 'Flipchart & Stand$50', 'Additional Flipchart$30', 'Webcam$50', 'DisplayPort to HDMI$0']","['At tables', 'In lounge', 'Maximum total', 'Sq. ft.']","['20', '2', '22', '772']","['Mon - Thu', 'Fri', 'Sat - Sun']","['8:00 am - 9:00 pm', '8:00 am - 8:00 pm', 'Closed']","['Team Offsite', 'Team Meeting', 'Presentation', 'Client Meeting', 'Small Event', 'Class / Workshop', 'Private Phone Call']","['262 Washington Street, 4th Floor, Suite 400, Room 1']",['Boston'],['Downtown'],['4.8'],['6 Ratings'],"['$119/hour', '$951/day']"
